"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Forest_type","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","h_mean","Ho","Canopy_cover","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"2","1_1000_A_3C","IFN3",1,1000,"A","3C",534000,4739000,"plantation",0,2000,31,25,21,41,816.995374538396,463.317723223073,321.846662696944,22.4214285714286,22.8557032487664,31.03125,33.5195868055556,20.9875423611111,11.7220444444444,12.3138528138528,14.5625,100,54.9200189212932,46.9284994964753,707.476793266805,24.0244947387039,44.7146230826214,36.1596940643211,58.2059800203409,57.2903225806452,56.0252373515276,56.7823351535752
"5","1_1027_A_1","IFN3",1,1027,"A","1",530000,4737000,"plantation",0,2000,66,21,25,65,612.145278896561,474.635408065163,10.1859163578813,25.7962676219089,28.3640119949593,42.3260638297872,38.6793980277778,35.0099490277778,2.972224,14.8106078114167,21.3404255319149,100,57.4137624422765,50.4191120103553,749.640230199941,18.9395507274446,35.2504758723412,36.5428356011828,59.1891889031391,58.0392163193686,56.9230772710646,57.5079868700071
"21","1_1137_A_1","IFN3",1,1137,"A","1",542000,4738000,"plantation",0,2000,24,25,21,NA,473.928052762533,410.266075525775,63.6619772367581,19.0671641791045,19.8500018797698,27.35625,14.6663958333333,13.7847395833333,0.88165625,9.71641791044776,12.75,70,50.958904109589,46.6072652501713,327.283709300944,36.0274568846439,67.0546528758821,37.9406911835091,70.6909085929492,69.2957741243218,67.6288664780612,68.4536087521839
"27","1_1220_A_3C","IFN3",1,1220,"A","3C",550000,4732000,"plantation",0,2000,30,25,21,NA,1181.28335539318,986.760647169751,194.522708223428,21.9238023952096,22.4852205285065,31.34375,46.9070659722222,39.2637638888889,7.64330208333333,16.124251497006,17.8125,100,73.5467835658343,56.8295114656032,996.449511733995,16.3342079514646,30.4013865784343,36.6098602742815,59.5862068965517,57.7926421865513,56.65573726204,57.2549025853231
"68","1_189_A_1","IFN3",1,189,"A","1",510000,4763000,"plantation",0,2000,72,21,25,35,329.344628904829,212.772475031298,45.8366236104659,41.1860824742268,42.325484329318,53.1125,46.3387526666667,27.2265712222222,12.503387,22.9046391752577,24.63,100,55.6125705560631,46.3732642974818,766.748578004555,22.3722825487702,41.6395096981813,42.3544995979108,72.3076927497307,71.0280375941982,68.9908255874698,70.2439015199569
"72","1_211_A_1","IFN3",1,211,"A","1",529000,4769000,"plantation",0,2000,43,25,21,41,1082.25361302489,721.502408683259,42.4413181578388,17.6207516339869,18.6768374339969,30.61875,29.6500618055556,22.2339055555556,3.435825,10.4901960784314,15.375,100,59.5331930006769,50.2143294549908,677.761958322388,19.7706229372805,36.7972755458173,47.7786150903253,77.1704188346754,75.0000011175871,73.619632117206,74.862384666107
"73","1_212_A_1","IFN3",1,212,"A","1",530000,4769000,"plantation",0,2000,49,25,21,42,549.756541204538,330.476397389038,130.860730986669,28.3199047864128,29.0552983719717,37.7410326086957,36.4511274722222,26.022499,6.70296736111111,18.8665723108595,21.7092391304348,100,66.6194764888872,57.5215822935192,699.766844819268,19.6458215458698,36.5649939832783,47.7786150903253,78.7012994323579,76.4668774317003,75.0464397392722,76.296295510289
"75","1_218_A_1","IFN3",1,218,"A","1",529000,4768000,"plantation",0,2000,43,25,21,215,995.673323982897,181.082957473445,86.0144047998865,19.0569977266269,22.7386279422533,42.7149746192893,40.4329346944444,21.6705417777778,9.95928666666667,10.1633986928105,20.2157360406091,90,53.3315836975198,47.3270468279292,855.125363573209,15.6766046457138,29.1774489150476,47.7786150903253,75.9105432466357,73.7888197665054,72.4390239690047,73.6778124044333
"76","1_219_A_1","IFN3",1,219,"A","1",530000,4768000,"plantation",0,2000,42,21,25,43,466.430086554648,409.841662344196,28.2942121052258,30.2164846830452,30.6326643489224,36.8588082901554,34.37525925,29.5604898055556,2.47285555555556,17.182135274492,18.7331606217617,100,56.8634487258309,50.8241082410824,646.27804397687,24.7169947293845,46.0035107951324,47.7786150903253,76.3987146463287,74.2500011064112,72.8834357960339,74.1284397184001
"102","1_283_A_1","IFN3",1,283,"A","1",514000,4762000,"plantation",0,2000,48,21,25,43,666.328695078068,344.482032381125,307.699556644331,24.9015711252654,27.3863263803575,42.3702631578947,39.250569,29.17346275,9.12322847222222,12.3855414012739,17.5110526315789,100,49.7379917876241,41.3286378853093,771.32342083525,22.1229729582147,41.1754922653979,50.5703918283034,75.7046990162413,74.267102015374,72.0766779751215,73.3757959554885
