"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Forest_type","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","h_mean","Ho","Canopy_cover","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"162","1_687_A_1","IFN3",1,687,"A","1",539000,4752000,"plantation",0,2000,35,26,21,273,1511.75975278222,291.571855744352,304.162780131178,19.9586281115478,21.8863362594237,38.6961956521739,56.8746576111111,23.3421624722222,16.9977847222222,16.1518809657496,19.258152173913,90,80.9268095756757,49.7675594443898,1221.14388291363,13.3550031991498,24.8564617409057,43.1955278489548,64.6153840228651,62.8037375714105,61.8404914307206,63.1192659630042
"1418","18_1220_A_1","IFN3",18,1220,"A","1",482000,4113000,"plantation",0,2000,48,21,26,25,1807.2927982213,916.025116906686,604.788783749202,18.3666340508806,18.8853849361846,26.18125,50.6255881944444,27.7499138888889,18.6597993055556,10.6749510763209,11.9375,80,58.1214339369336,45.5956075435665,1152.1705744487,19.7048147545456,36.6747927165738,29.8631732461754,78,74.88,69.4980698819219,67.6447870843631
"1429","18_1245_A_3E","IFN3",18,1245,"A","3E",455000,4108000,"plantation",0,2000,50,26,21,25,346.887040410069,35.6507072525846,60.1252007236049,19.1535685154976,23.0040151603842,32.5265678449259,14.4173435277778,6.729847,2.53474722222222,8.10566884176183,13.0160775370582,15,42.3193664157327,40.0167567605466,303.521326497215,41.250178808577,76.7752336761844,24.2865733611,49.0909087869043,47.5471695261351,44.7706419733362,43.3027522304331
"1457","18_1340_A_1","IFN3",18,1340,"A","1",484000,4110000,"plantation",0,2000,42,26,21,NA,608.325560262355,576.494571643976,31.8309886183791,17.2485465116279,17.9663190216039,23.9932432432432,15.4221229166667,15.0314979166667,0.390625,5.89244186046512,6.54594594594595,50,34.1619617426477,27.2824556462968,357.972131457882,61.93833873873,115.280237989948,29.8631732461754,79.2951540184543,75.9493669357997,70.2439027113407,69.2682929514609
"1459","18_1345_A_1","IFN3",18,1345,"A","1",493000,4110000,"plantation",0,2000,40,26,21,45,693.208196578033,152.081390065589,509.295817894065,12.8372448979592,13.5903674245656,21.0485294117647,10.0557847222222,4.81737847222222,4.79285,5.20663265306122,5.63529411764706,80,40.5588013195024,26.7728638300845,260.6189847377,67.3987074233383,125.443129250719,26.7430804467627,66.7741943187198,64.1860469268295,60.2247195313466,58.426967231241
"1462","18_1348_A_1","IFN3",18,1348,"A","1",496000,4110000,"plantation",0,2000,40,21,26,NA,1227.26145006417,1071.64328348543,155.618166578742,19.4131123919308,19.8755680686584,29.4875,38.07729375,28.0794631944444,9.99783055555556,8.49798270893372,8.375,70,43.7744475866011,28.4018651971174,849.270926228485,34.0836924588882,63.4368996367659,26.7430804467627,83.1578957803362,79.6638665038662,73.8461544163982,71.9028338692877
"1470","18_1356_A_3E","IFN3",18,1356,"A","3E",490000,4109000,"plantation",0,2000,42,26,21,NA,848.826363156775,420.876405065234,427.949958091541,21.6895833333333,22.3991554900328,32.0125,33.4481444444444,22.3004006944444,11.14774375,8.96541666666667,8.8125,75,41.3351263087119,27.5283092541976,711.618016960435,38.9485631005859,72.4914441529,27.6338090882276,87.7777771964485,83.8938047787122,77.6170212765958,75.5744680851064
"1471","18_1357_A_1","IFN3",18,1357,"A","1",495000,4109000,"plantation",0,2000,40,21,26,NA,346.604098289017,332.456992236404,14.1471060526129,17.4,17.764890276346,20.9485714285714,8.59109722222222,7.88829444444444,0.702802777777778,7.8469387755102,8.13714285714286,80,45.0973492845414,38.8434260774686,200.303177794253,66.0102249288361,122.858872138395,26.7430804467627,90.4186036484895,86.3999990844727,79.9999996739575,77.9487176310355
"1473","18_1359_A_1","IFN3",18,1359,"A","1",500000,4109000,"plantation",0,2000,45,26,21,NA,1174.20980236687,403.192522499468,771.017279867404,21.1507530120482,22.0063971052559,33.08125,44.6615173611111,24.4570347222222,20.2044826388889,10.9009036144578,11.4375,75,51.5390804679545,34.5739656149632,956.848202230013,25.5150275817077,47.4888172953225,26.6390597656177,90.4186036484895,86.3999990844727,79.9999996739575,77.9487176310355
"1474","18_1360_A_1","IFN3",18,1360,"A","1",502000,4109000,"natural",0,2000,40,26,21,NA,558.81068907821,343.067321775863,215.743367302347,21.728164556962,22.1208658441798,26.9875,21.47626875,15.2739979166667,6.20227083333333,6.54873417721519,6.7,75,30.1393804343077,24.8263084761464,459.175171176211,63.1382942665615,117.513606879761,26.6390597656177,86.1818181818182,82.4347826086957,76.3179920885932,74.309623134447
"1480","18_1368_A_1","IFN3",18,1368,"A","1",502000,4108000,"plantation",0,2000,50,26,21,25,234.983431533901,89.9755944946182,130.860730986669,29.3270620108368,30.0520000115794,35.164402173913,16.66763125,9.38814722222222,6.42077291666667,11.844671884407,12.3695652173913,60,40.388198040534,35.1763842200842,315.7405078469,52.7383993463052,98.1572213858771,40.9357755061954,90.1408452722183,86.0986548926235,79.6551730686646,77.586205939759
"1660","18_997_A_1","IFN3",18,997,"A","1",480000,4115000,"plantation",0,2000,37,21,26,NA,360.751204341629,346.604098289017,14.1471060526129,21.2975490196078,21.4730844976481,24.30625,13.0643118055556,12.4428423611111,0.621469444444444,8.9156862745098,9.2625,60,41.8624991368794,38.1074826433531,282.621138006004,56.8418081138021,105.794525661707,29.5867248489399,86.2337665897789,82.6556019868321,76.8,74.8799992858887
