"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Forest_type","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","h_mean","Ho","Canopy_cover","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"103","1_284_A_1","IFN3",1,284,"A","1",515000,4762000,"plantation",0,2000,40,21,43,NA,469.966863067801,392.15777977843,77.809083289371,30.6330674292595,31.3640067893821,39.8209844559585,36.3094940277778,33.84521,2.46428402777778,14.8342263696568,16.6279792746114,100,48.4255336293478,41.7568262105667,676.310521368902,27.7413062535699,51.6323887948232,50.5703918283034,85.2173918748548,82.5263163072581,80.8247422018209,82.191779681052
"172","1_762_A_1","IFN3",1,762,"A","1",549000,4754000,"plantation",0,2000,60,21,43,NA,1087.34657120383,565.884242104517,521.462329099312,22.6057637262555,24.0504907893355,37.6024456521739,49.3975895555556,35.8856145833333,13.5119749722222,15.205893832943,19.8505434782609,100,67.265561195272,52.7905649060176,1021.82895380912,15.2771943559513,28.434062602191,46.2781759425635,72.4832218824477,71.1400655885632,69.9999998930173,71.3099031756265
"1518","18_1692_A_1","IFN3",18,1692,"A","1",464000,4092000,"plantation",0,2000,60,21,43,45,474.210994883585,438.560287631001,30.5577490736439,32.936276849642,34.6404888329699,47.6893617021277,44.6919726666667,32.4747916666667,10.464205,14.0625298329356,14.7574468085106,85,42.6961732715955,30.9449451235835,800.405832161249,31.1173757343413,57.9159621217676,44.2040842921545,95.1724145755473,91.2396701406027,84.1434266145236,83.1872505219111
"1704","19_183_A_4","IFN3",19,183,"A","4",465000,4545000,"plantation",0,2000,30,21,43,NA,357.214427828476,229.89047335496,127.323954473516,19.9930693069307,21.9849858758289,29.98125,13.5603611111111,12.8121361111111,0.748225,8.86831683168317,11.8375,80,44.3569553805774,39.4830102147175,290.634933583576,44.6967053748317,83.1899424153466,25.9766219480215,67.9999993244807,66.2399996841431,66.0465111396367,64.1860463336843
"1716","19_2184_A_1","IFN3",19,2184,"A","1",469000,4545000,"plantation",0,2000,15,43,21,NA,303.313953768021,48.6660448209884,254.647908947033,21.4294076492537,25.5799888400647,32.3468513853904,15.5877335277778,10.5052397777778,5.08249375,7.38899253731343,9.60894206549118,50,34.4806196151238,29.7059579339184,314.686954300142,59.7555475083054,111.217605739071,22.2880676417492,53.9759031493184,52.8185326240476,52.1348311347963,51.2359548502988
"1717","19_2188_A_1","IFN3",19,2188,"A","1",468000,4544000,"plantation",0,2000,20,21,43,NA,1025.24077563286,986.760647169751,38.4801284631071,15.2746446805575,16.2923241371507,27.4797091412742,21.3738046388889,16.24186875,5.13193588888889,7.75852076721402,8.84833795013851,25,50.793461513966,32.1995327703392,515.6617744358,35.2959896316167,65.6932389159996,25.9766219480215,47.0588237494058,46.1886795569502,45.7142858939418,44.8351651582003
"1719","19_2198_A_1","IFN3",19,2198,"A","1",467000,4540000,"plantation",0,2000,15,21,43,NA,1241.40855611678,1177.74657888003,63.6619772367581,12.5589743589744,12.8996123972777,17.7875,16.224,14.99246875,1.23153125,6.12820512820513,7.25,50,48.7954267047775,40.7589599437807,429.236417288863,39.1475534965817,72.8618070117567,29.3108652069464,61.4634148724231,60.0000005029142,59.0909092776867,58.1818186284425
"1754","19_3000_N_N","IFN3",19,3000,"N","N",465000,4560000,"plantation",0,2000,20,21,43,NA,1294.46020381408,1057.49617743282,236.964026381266,16.9871584699454,17.2984517927539,23.3212121212121,30.4223708333333,26.3163951388889,4.10597569444444,10.5819672131148,11.2727272727273,25,62.2939217988516,48.3367983367983,716.797698975092,24.6562286235694,45.8904123284519,48.5038088162036,61.7721520851599,60.2429154449564,60.2352943992395,59.2941182014439
"1764","19_34_A_1","IFN3",19,34,"A","1",474000,4561000,"plantation",0,2000,20,21,43,NA,1057.49617743282,1025.66518881444,31.8309886183791,16.8590301003345,17.3113889957799,23.6465517241379,24.8904368055556,24.3316805555556,0.55875625,8.90133779264214,11.7068965517241,75,52.7986351508178,49.5078381334306,586.283695063283,26.2675045518044,48.8893347447914,37.478856449265,73.0434782608696,71,70.6451614261542,69.6774194888096
"3186","24_1067_A_4","IFN3",24,1067,"A","4",723000,4727000,"plantation",0,2000,35,21,43,NA,1807.2927982213,1043.3490713802,763.943726841098,14.3977495107632,15.5055120872567,25.41875,34.1264118055556,29.3392368055556,4.787175,10.0655577299413,12.5,80,69.9106323694315,49.176297024834,839.585668845003,18.8180980905911,35.024427044328,56.8344151167225,97.7375559284403,96,94.1772159478008,94.1772140529824
