"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dead","expan","dbh","g","height","slenderness","bearing","distance"
"24963","IFN3","1_1099_A_3E","IFN3_1_1099_1",21,0,14.1471060526129,27.4,589.645525152268,14,51.0948905109489,4,12.6
"24964","IFN3","1_1099_A_3E","IFN3_1_1099_2",21,0,14.1471060526129,25.2,498.759249683916,14,55.5555555555556,10,5.9
"24965","IFN3","1_1099_A_3E","IFN3_1_1099_3",21,0,14.1471060526129,23.9,448.627284914256,14.5,60.6694560669456,16,14.5
"24966","IFN3","1_1099_A_3E","IFN3_1_1099_4",21,0,14.1471060526129,24.75,481.105462466149,13.5,54.5454545454545,26,8.8
"24967","IFN3","1_1099_A_3E","IFN3_1_1099_5",71,0,14.1471060526129,38.2,1146.08441595609,16.5,43.1937172774869,50,3.6
"24968","IFN3","1_1099_A_3E","IFN3_1_1099_6",33,0,14.1471060526129,26.05,532.973157176917,17.5,67.1785028790787,55,14.4
"24969","IFN3","1_1099_A_3E","IFN3_1_1099_7",33,0,14.1471060526129,22.95,413.671176156844,16,69.7167755991285,108,12.6
"24970","IFN3","1_1099_A_3E","IFN3_1_1099_8",33,0,31.8309886183791,19.3,292.552961883916,15,77.720207253886,135,8.9
"24971","IFN3","1_1099_A_3E","IFN3_1_1099_9",71,0,31.8309886183791,14.25,159.484914554894,11.5,80.7017543859649,140,8
"24972","IFN3","1_1099_A_3E","IFN3_1_1099_10",21,0,14.1471060526129,31.8,794.226038754036,16.5,51.8867924528302,165,2.6
"24973","IFN3","1_1099_A_3E","IFN3_1_1099_11",71,0,31.8309886183791,14.1,156.145008865047,12,85.1063829787234,174,8.4
"24974","IFN3","1_1099_A_3E","IFN3_1_1099_12",71,0,31.8309886183791,13.15,135.813013910095,11.5,87.4524714828897,179,6.6
"24975","IFN3","1_1099_A_3E","IFN3_1_1099_13",71,0,31.8309886183791,14.2,158.367685667461,12,84.5070422535211,181,6.2
"24976","IFN3","1_1099_A_3E","IFN3_1_1099_14",71,0,14.1471060526129,37.35,1095.64810939812,16.5,44.1767068273092,223,9.9
"24977","IFN3","1_1099_A_3E","IFN3_1_1099_15",33,0,14.1471060526129,22.9,411.870650867256,17.5,76.4192139737991,224,13.9
"24978","IFN3","1_1099_A_3E","IFN3_1_1099_16",71,0,14.1471060526129,32.6,834.689752132272,18,55.2147239263804,237,8.4
"24979","IFN3","1_1099_A_3E","IFN3_1_1099_17",71,0,14.1471060526129,33.75,894.617595494906,16.5,48.8888888888889,237,7.3
"24980","IFN3","1_1099_A_3E","IFN3_1_1099_18",33,0,14.1471060526129,23.65,439.290864246869,14,59.1966173361522,261,14.7
"24981","IFN3","1_1099_A_3E","IFN3_1_1099_19",33,0,14.1471060526129,27.15,578.934657698936,16.5,60.7734806629834,283,14.8
"24982","IFN3","1_1099_A_3E","IFN3_1_1099_20",21,0,14.1471060526129,29.8,697.46498502347,14.5,48.6577181208054,299,7.4
"24983","IFN3","1_1099_A_3E","IFN3_1_1099_21",21,0,14.1471060526129,25,490.873852123405,14,56,309,10.6
"24984","IFN3","1_1099_A_3E","IFN3_1_1099_22",21,0,31.8309886183791,22.4,394.081382466304,12.5,55.8035714285714,309,2.1
"24985","IFN3","1_1099_A_3E","IFN3_1_1099_23",21,0,14.1471060526129,31.35,771.906986445689,14,44.6570972886762,311,12.9
"24986","IFN3","1_1099_A_3E","IFN3_1_1099_24",71,0,5.09295817894065,50.45,1998.99736897459,14.5,28.7413280475719,314,23.6
