"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dead","expan","dbh","g","height","slenderness","bearing","distance"
"4498","IFN3","1_189_A_1","IFN3_1_189_1",21,0,14.1471060526129,38.5,1164.15642769587,23.8,61.8181818181818,2,11
"4499","IFN3","1_189_A_1","IFN3_1_189_2",43,0,14.1471060526129,30.4,725.833566685386,19.5,64.1447368421053,2,5.8
"4500","IFN3","1_189_A_1","IFN3_1_189_3",21,0,5.09295817894065,49.65,1936.10268404973,22.1,44.5115810674723,2,2.2
"4501","IFN3","1_189_A_1","IFN3_1_189_4",21,0,5.09295817894065,48.5,1847.45282985165,23,47.4226804123711,9,19.8
"4502","IFN3","1_189_A_1","IFN3_1_189_5",21,0,14.1471060526129,39.9,1250.36173011037,22.8,57.1428571428571,11,13.9
"4503","IFN3","1_189_A_1","IFN3_1_189_6",21,0,5.09295817894065,43.7,1499.86701865847,22.2,50.8009153318078,21,21.5
"4504","IFN3","1_189_A_1","IFN3_1_189_7",35,0,14.1471060526129,36.4,1040.62115057508,22.6,62.0879120879121,29,6.7
"4505","IFN3","1_189_A_1","IFN3_1_189_8",25,0,5.09295817894065,52.5,2164.75368786422,23.1,44,43,16.9
"4506","IFN3","1_189_A_1","IFN3_1_189_9",21,0,5.09295817894065,51.1,2050.83953824505,20.1,39.334637964775,59,14.3
"4507","IFN3","1_189_A_1","IFN3_1_189_10",25,0,5.09295817894065,63.3,3147.0040469356,25.5,40.2843601895735,70,24.2
"4508","IFN3","1_189_A_1","IFN3_1_189_11",21,0,5.09295817894065,48.1,1817.10504481797,21.5,44.6985446985447,123,18.9
"4509","IFN3","1_189_A_1","IFN3_1_189_12",21,0,14.1471060526129,35.6,995.38221636339,21,58.9887640449438,127,13.8
"4510","IFN3","1_189_A_1","IFN3_1_189_13",21,0,14.1471060526129,32.4,824.479576008105,20.6,63.5802469135802,127,6.7
"4512","IFN3","1_189_A_1","IFN3_1_189_15",21,0,14.1471060526129,39.7,1237.85819134908,23.9,60.2015113350126,141,10.3
"4514","IFN3","1_189_A_1","IFN3_1_189_17",43,0,14.1471060526129,35.05,964.863607229174,21.6,61.6262482168331,154,12.6
"4515","IFN3","1_189_A_1","IFN3_1_189_18",21,0,5.09295817894065,53.55,2252.20973685393,24.3,45.3781512605042,157,24
"4516","IFN3","1_189_A_1","IFN3_1_189_19",21,0,14.1471060526129,30.8,745.060113725355,19.2,62.3376623376623,176,11.8
"4518","IFN3","1_189_A_1","IFN3_1_189_21",35,0,14.1471060526129,33.95,905.251886627307,25,73.6377025036819,182,8.2
"4519","IFN3","1_189_A_1","IFN3_1_189_22",21,0,14.1471060526129,34.9,956.622816999726,23.2,66.4756446991404,190,13.8
"4520","IFN3","1_189_A_1","IFN3_1_189_23",21,0,5.09295817894065,51.65,2095.22435195405,23.2,44.917715392062,191,18.8
"4521","IFN3","1_189_A_1","IFN3_1_189_24",21,0,5.09295817894065,44.2,1534.38526793979,26.6,60.1809954751131,198,10.3
"4522","IFN3","1_189_A_1","IFN3_1_189_25",21,0,5.09295817894065,48.4,1839.84232164833,22.9,47.3140495867769,203,4
"4523","IFN3","1_189_A_1","IFN3_1_189_26",25,0,5.09295817894065,68.1,3642.37037655364,26.1,38.3259911894273,209,20.6
"4525","IFN3","1_189_A_1","IFN3_1_189_28",21,0,5.09295817894065,45.65,1636.70890416262,23.4,51.2595837897043,226,21.7
"4526","IFN3","1_189_A_1","IFN3_1_189_29",21,0,5.09295817894065,46.85,1723.88810029974,24.8,52.9348986125934,240,19.4
"4527","IFN3","1_189_A_1","IFN3_1_189_30",25,0,5.09295817894065,47.9,1802.02540008074,29.1,60.7515657620042,240,14.2
"4528","IFN3","1_189_A_1","IFN3_1_189_31",21,0,5.09295817894065,43.45,1482.75515617345,20.3,46.7203682393556,257,19.6
"4529","IFN3","1_189_A_1","IFN3_1_189_32",21,0,14.1471060526129,39.9,1250.36173011037,22.1,55.3884711779449,262,14.6
"4531","IFN3","1_189_A_1","IFN3_1_189_34",25,0,5.09295817894065,52.95,2202.02279421283,28.5,53.8243626062323,279,23.1
"4532","IFN3","1_189_A_1","IFN3_1_189_35",25,0,5.09295817894065,60.3,2855.77840794783,30.1,49.9170812603648,280,16.5
"4533","IFN3","1_189_A_1","IFN3_1_189_36",21,0,14.1471060526129,39.15,1203.79743649795,23.2,59.2592592592593,281,11
"4534","IFN3","1_189_A_1","IFN3_1_189_37",21,0,5.09295817894065,46.55,1701.88124376134,20.9,44.8979591836735,281,8.4
"4535","IFN3","1_189_A_1","IFN3_1_189_38",25,0,5.09295817894065,43.55,1489.58812019501,29.4,67.5086107921929,286,19
"4536","IFN3","1_189_A_1","IFN3_1_189_39",35,0,14.1471060526129,36.3,1034.91130592718,23.4,64.4628099173554,294,3.8
"4537","IFN3","1_189_A_1","IFN3_1_189_40",21,0,14.1471060526129,26.4,547.391103961485,18.1,68.5606060606061,304,11
"4538","IFN3","1_189_A_1","IFN3_1_189_41",25,0,5.09295817894065,72.9,4173.92785354103,27.8,38.1344307270233,335,10.6
"4540","IFN3","1_189_A_1","IFN3_1_189_43",21,0,5.09295817894065,47.55,1775.78721093704,22.4,47.1083070452156,366,22
"4541","IFN3","1_189_A_1","IFN3_1_189_44",25,0,5.09295817894065,62.55,3072.87227778792,27.2,43.4852118305356,369,12
"5006","IFN3","1_211_A_1","IFN3_1_211_1",21,0,14.1471060526129,31.45,776.839286911825,15.5,49.2845786963434,0,11.1
"5007","IFN3","1_211_A_1","IFN3_1_211_2",25,0,31.8309886183791,13.35,139.975624176102,5,37.4531835205993,6,5.4
"5008","IFN3","1_211_A_1","IFN3_1_211_3",41,0,31.8309886183791,18.1,257.304292310638,14.5,80.110497237569,14,9.4
"5009","IFN3","1_211_A_1","IFN3_1_211_4",21,0,14.1471060526129,36.7,1057.84493229839,16.5,44.9591280653951,22,12.9
"5011","IFN3","1_211_A_1","IFN3_1_211_6",25,0,31.8309886183791,16.85,222.992210047212,10.5,62.3145400593472,40,7.3
"5012","IFN3","1_211_A_1","IFN3_1_211_7",25,0,31.8309886183791,21.1,349.667116326178,12.5,59.2417061611374,49,7.8
"5013","IFN3","1_211_A_1","IFN3_1_211_8",25,0,31.8309886183791,22.05,381.862550539248,12,54.421768707483,63,7.4
"5014","IFN3","1_211_A_1","IFN3_1_211_9",25,0,31.8309886183791,19.7,304.805173232916,11,55.8375634517767,72,7
"5016","IFN3","1_211_A_1","IFN3_1_211_11",21,0,14.1471060526129,27.5,593.95736106932,15,54.5454545454545,106,8.9
"5017","IFN3","1_211_A_1","IFN3_1_211_12",25,0,14.1471060526129,33.75,894.617595494906,16.5,48.8888888888889,113,12
"5020","IFN3","1_211_A_1","IFN3_1_211_15",41,0,31.8309886183791,19.85,309.464547837271,10,50.3778337531486,141,7.4
"5021","IFN3","1_211_A_1","IFN3_1_211_16",25,0,31.8309886183791,17.45,239.155704249931,10.5,60.1719197707736,155,8.8
"5022","IFN3","1_211_A_1","IFN3_1_211_17",25,0,31.8309886183791,13.25,137.886465061465,6.5,49.0566037735849,163,1.5
"5023","IFN3","1_211_A_1","IFN3_1_211_18",25,0,31.8309886183791,18.65,273.179152688309,9.5,50.9383378016086,164,4.5
"5024","IFN3","1_211_A_1","IFN3_1_211_19",3,0,127.323954473516,9.05,64.3260730776595,7,77.3480662983425,164,4.3
"5025","IFN3","1_211_A_1","IFN3_1_211_20",25,0,31.8309886183791,20.8,339.794661412272,15,72.1153846153846,173,8.1
"5026","IFN3","1_211_A_1","IFN3_1_211_21",25,0,31.8309886183791,12.85,129.686908235595,9,70.0389105058366,173,6.3
"5027","IFN3","1_211_A_1","IFN3_1_211_22",25,0,31.8309886183791,18.8,277.591126871194,13.5,71.8085106382979,182,9.2
"5028","IFN3","1_211_A_1","IFN3_1_211_23",25,0,31.8309886183791,20.6,333.291564619341,14.5,70.3883495145631,191,9.8
"5029","IFN3","1_211_A_1","IFN3_1_211_24",25,0,14.1471060526129,37.2,1086.86539443592,17,45.6989247311828,203,13.2
"5030","IFN3","1_211_A_1","IFN3_1_211_25",25,0,14.1471060526129,24.75,481.105462466149,14,56.5656565656566,210,9.2
"5033","IFN3","1_211_A_1","IFN3_1_211_28",41,0,127.323954473516,11.65,106.59620223171,6,51.5021459227468,240,4.6
"5034","IFN3","1_211_A_1","IFN3_1_211_29",25,0,31.8309886183791,13.05,133.755270721994,6.5,49.8084291187739,265,3.9
