"","INVENTORY_ID","PLOT_ID","TREE_ID","specie","dead","expan","dbh","g","height","slenderness","bearing","distance"
"16086","IFN3","1_687_A_1","IFN3_1_687_1",26,0,14.1471060526129,26.05,532.973157176917,18.5,71.0172744721689,0,10.4
"16087","IFN3","1_687_A_1","IFN3_1_687_2",41,0,127.323954473516,9,63.6172512351933,11,122.222222222222,2,2
"16088","IFN3","1_687_A_1","IFN3_1_687_3",26,0,14.1471060526129,33.9,902.587423357981,18,53.0973451327434,4,8.1
"16089","IFN3","1_687_A_1","IFN3_1_687_4",21,0,14.1471060526129,24.35,465.680242537024,17.5,71.8685831622177,5,3.8
"16090","IFN3","1_687_A_1","IFN3_1_687_5",21,0,31.8309886183791,20.15,318.88932579804,17.5,86.848635235732,8,3.9
"16091","IFN3","1_687_A_1","IFN3_1_687_6",26,0,31.8309886183791,21.85,374.966754664618,17,77.8032036613272,26,7.6
"16092","IFN3","1_687_A_1","IFN3_1_687_7",26,0,14.1471060526129,24.35,465.680242537024,19,78.0287474332649,27,13.4
"16093","IFN3","1_687_A_1","IFN3_1_687_8",26,0,14.1471060526129,38.05,1137.10142446223,19.5,51.2483574244415,40,12.7
"16094","IFN3","1_687_A_1","IFN3_1_687_9",41,0,31.8309886183791,13.6,145.267244301992,16,117.647058823529,40,6.3
"16095","IFN3","1_687_A_1","IFN3_1_687_10",26,0,14.1471060526129,23.2,422.732707467043,17,73.2758620689655,49,5.9
"16096","IFN3","1_687_A_1","IFN3_1_687_11",26,0,14.1471060526129,39.15,1203.79743649795,19.5,49.808429118774,50,12.6
"16097","IFN3","1_687_A_1","IFN3_1_687_12",41,0,31.8309886183791,16.75,220.353272218197,17,101.492537313433,54,7.9
"16098","IFN3","1_687_A_1","IFN3_1_687_13",21,0,14.1471060526129,26.5,551.545860245858,17.5,66.0377358490566,60,3.3
"16099","IFN3","1_687_A_1","IFN3_1_687_14",26,0,14.1471060526129,35.35,981.451216440128,19,53.7482319660537,64,8.3
"16100","IFN3","1_687_A_1","IFN3_1_687_15",26,0,14.1471060526129,34.45,932.1125038155,18.5,53.7010159651669,75,5.9
"16101","IFN3","1_687_A_1","IFN3_1_687_16",26,0,14.1471060526129,26.35,545.319616305525,19,72.1062618595825,80,9.4
"16102","IFN3","1_687_A_1","IFN3_1_687_17",26,0,14.1471060526129,36.15,1026.37599138646,20.5,56.7081604426003,82,14.7
"16103","IFN3","1_687_A_1","IFN3_1_687_18",26,0,14.1471060526129,40.6,1294.61891661782,19.5,48.0295566502463,89,11.2
"16105","IFN3","1_687_A_1","IFN3_1_687_20",41,0,31.8309886183791,13.65,146.337349299621,17,124.542124542125,96,6.1
"16106","IFN3","1_687_A_1","IFN3_1_687_21",26,0,14.1471060526129,31.4,774.371173183348,19,60.5095541401274,101,12.7
"16107","IFN3","1_687_A_1","IFN3_1_687_22",26,0,5.09295817894065,42.65,1428.65693067863,21.5,50.4103165298945,105,20.6
"16108","IFN3","1_687_A_1","IFN3_1_687_23",26,0,14.1471060526129,25.3,502.725510409073,18.5,73.1225296442688,109,14.7
"16109","IFN3","1_687_A_1","IFN3_1_687_24",26,0,14.1471060526129,23.35,428.216750142965,18,77.0877944325482,112,7.5
"16110","IFN3","1_687_A_1","IFN3_1_687_25",26,0,14.1471060526129,36.25,1032.06227408946,18.5,51.0344827586207,126,8.3
"16111","IFN3","1_687_A_1","IFN3_1_687_26",26,0,14.1471060526129,37.3,1092.71661075324,19.5,52.2788203753351,129,11
"16112","IFN3","1_687_A_1","IFN3_1_687_27",21,0,14.1471060526129,25.9,526.852941988642,17,65.6370656370656,137,5.2
"16113","IFN3","1_687_A_1","IFN3_1_687_28",21,0,14.1471060526129,26.4,547.391103961485,18.5,70.0757575757576,143,10.4
"16114","IFN3","1_687_A_1","IFN3_1_687_29",21,0,14.1471060526129,26.25,541.188421966054,18.5,70.4761904761905,144,13
"16115","IFN3","1_687_A_1","IFN3_1_687_30",25,0,14.1471060526129,26.9,568.321965016027,18,66.9144981412639,156,13.7
"16116","IFN3","1_687_A_1","IFN3_1_687_31",41,0,14.1471060526129,24.05,454.276261204493,18.5,76.9230769230769,164,10.4
"16117","IFN3","1_687_A_1","IFN3_1_687_32",21,0,14.1471060526129,23.6,437.435361085843,18.5,78.3898305084746,167,14.2
"16118","IFN3","1_687_A_1","IFN3_1_687_33",21,0,14.1471060526129,25,490.873852123405,19,76,182,13.8
"16119","IFN3","1_687_A_1","IFN3_1_687_34",273,0,31.8309886183791,14.15,157.254383770846,18,127.208480565371,190,8.2
"16120","IFN3","1_687_A_1","IFN3_1_687_35",41,0,31.8309886183791,14.45,163.993100012796,16.5,114.186851211073,190,7.6
"16121","IFN3","1_687_A_1","IFN3_1_687_36",44,0,14.1471060526129,23.5,433.736135736241,16.5,70.2127659574468,191,9.8
"16122","IFN3","1_687_A_1","IFN3_1_687_37",41,0,14.1471060526129,22.95,413.671176156844,18.5,80.6100217864924,213,12.8
"16123","IFN3","1_687_A_1","IFN3_1_687_38",273,0,31.8309886183791,20.3,323.654729154455,16.5,81.2807881773399,213,2.4
"16124","IFN3","1_687_A_1","IFN3_1_687_39",273,0,31.8309886183791,19.85,309.464547837271,16.5,83.1234256926952,214,2.9
"16125","IFN3","1_687_A_1","IFN3_1_687_40",273,0,31.8309886183791,19.65,303.259902346431,17,86.5139949109415,217,3.8
"16126","IFN3","1_687_A_1","IFN3_1_687_41",273,0,31.8309886183791,16.6,216.424317905801,17,102.409638554217,218,3.3
"16127","IFN3","1_687_A_1","IFN3_1_687_42",273,0,31.8309886183791,18.45,267.3514983159,16.5,89.4308943089431,226,3.4
"16128","IFN3","1_687_A_1","IFN3_1_687_43",273,0,127.323954473516,9.7,73.8981131940659,14,144.329896907216,231,3
"16129","IFN3","1_687_A_1","IFN3_1_687_44",273,0,31.8309886183791,16.45,212.530706510758,16,97.2644376899696,234,2.5
"16130","IFN3","1_687_A_1","IFN3_1_687_45",273,0,31.8309886183791,15.55,189.911239404911,15,96.4630225080386,236,3.3
"16131","IFN3","1_687_A_1","IFN3_1_687_46",41,0,31.8309886183791,18.1,257.304292310638,17,93.9226519337016,239,5.3
"16132","IFN3","1_687_A_1","IFN3_1_687_47",41,0,31.8309886183791,22.05,381.862550539248,18,81.6326530612245,244,8.9
"16133","IFN3","1_687_A_1","IFN3_1_687_48",273,0,31.8309886183791,19.35,294.070743834681,16,82.687338501292,258,2
"16134","IFN3","1_687_A_1","IFN3_1_687_49",21,0,14.1471060526129,37.65,1113.31956807456,19,50.464807436919,268,12.5
"16135","IFN3","1_687_A_1","IFN3_1_687_50",21,0,14.1471060526129,22.55,399.376929583011,17.5,77.6053215077605,278,8.1
"16136","IFN3","1_687_A_1","IFN3_1_687_51",21,0,14.1471060526129,28.35,631.242175381206,18,63.4920634920635,302,6.5
"16137","IFN3","1_687_A_1","IFN3_1_687_52",21,0,14.1471060526129,31.85,796.725568409048,18,56.5149136577708,309,8.8
"16138","IFN3","1_687_A_1","IFN3_1_687_53",21,0,14.1471060526129,26.4,547.391103961485,18,68.1818181818182,318,11.2
"16139","IFN3","1_687_A_1","IFN3_1_687_54",21,0,14.1471060526129,36.65,1054.96448453413,18.5,50.4774897680764,325,13.5
"16140","IFN3","1_687_A_1","IFN3_1_687_55",41,0,127.323954473516,8.45,56.0793923619863,11,130.177514792899,349,4.3
"16141","IFN3","1_687_A_1","IFN3_1_687_56",21,0,14.1471060526129,31.2,764.537988177612,18.5,59.2948717948718,350,8.2
"16142","IFN3","1_687_A_1","IFN3_1_687_57",21,0,14.1471060526129,26.6,555.716324493499,17.5,65.7894736842105,352,6.2
"16143","IFN3","1_687_A_1","IFN3_1_687_58",21,0,14.1471060526129,26.65,557.807447103544,18.5,69.4183864915572,357,13.7
"16144","IFN3","1_687_A_1","IFN3_1_687_59",26,0,14.1471060526129,40.05,1259.78061758492,18.5,46.1922596754057,360,9.7
