"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"126244","IFN4","5_672_A_1","IFN4_5_672_A_1_1",21,0,14.1471060526129,38.85,1185.41911947445,13.9,35.7786357786358,40,14.8
"126245","IFN4","5_672_A_1","IFN4_5_672_A_1_2",21,0,5.09295817894065,57.2,2569.69712693031,13.2,23.0769230769231,48,14.8
"126246","IFN4","5_672_A_1","IFN4_5_672_A_1_3",43,0,127.323954473516,10.6,88.2473376393373,5.5999999,52.8301877358491,67,3.2
"126247","IFN4","5_672_A_1","IFN4_5_672_A_1_4",43,0,31.8309886183791,13.75,148.48934026733,8.1999998,59.6363621818182,74,2.9000001
"126248","IFN4","5_672_A_1","IFN4_5_672_A_1_5",21,0,5.09295817894065,53.95,2285.98185788002,9.8000002,18.1649679332715,111,13.2
"126249","IFN4","5_672_A_1","IFN4_5_672_A_1_6",21,0,14.1471060526129,36.6,1052.08796376069,9.5,25.9562841530055,152,5.5999999
"126250","IFN4","5_672_A_1","IFN4_5_672_A_1_7",21,0,5.09295817894065,42.95,1448.82595551468,10.5,24.4470314318976,154,4.4000001
"126251","IFN4","5_672_A_1","IFN4_5_672_A_1_8",21,0,14.1471060526129,33.85,899.926887079473,10.1,29.8375184638109,160,4.8000002
"126252","IFN4","5_672_A_1","IFN4_5_672_A_1_9",21,0,5.09295817894065,46.6,1705.53923570736,9.5,20.3862660944206,171,21.299999
"126253","IFN4","5_672_A_1","IFN4_5_672_A_1_10",21,0,14.1471060526129,39.65,1234.7421241358,12.3,31.0214375788146,180,13.8
"126254","IFN4","5_672_A_1","IFN4_5_672_A_1_11",21,0,14.1471060526129,34.95,959.365820085392,15.3,43.7768240343348,191,14.9
"126255","IFN4","5_672_A_1","IFN4_5_672_A_1_12",43,0,14.1471060526129,24.1,456.167107282872,11.2,46.4730290456432,209,8.3999996
"126256","IFN4","5_672_A_1","IFN4_5_672_A_1_13",45,0,31.8309886183791,13.95,152.840446092552,3.4000001,24.3727605734767,266,5.4000001
"126257","IFN4","5_672_A_1","IFN4_5_672_A_1_14",43,0,31.8309886183791,15.15,180.266549958391,8.5,56.1056105610561,335,7.8000002
"126258","IFN4","5_672_A_1","IFN4_5_672_A_1_15",43,0,31.8309886183791,14.65,168.564117323769,6.9000001,47.0989767918089,339,8.1999998
"126259","IFN4","5_672_A_1","IFN4_5_672_A_1_16",43,0,127.323954473516,12.05,114.041776820718,6.4000001,53.1120340248963,343,4.6999998
"126260","IFN4","5_672_A_1","IFN4_5_672_A_1_17",43,0,127.323954473516,9.75,74.6619129079699,4.6999998,48.2051261538461,355,4.5
"128861","IFN4","5_846_A_1","IFN4_5_846_A_1_1",21,0,14.1471060526129,34.75,948.417369687631,14.2,40.863309352518,28,8.6000004
"128862","IFN4","5_846_A_1","IFN4_5_846_A_1_2",21,0,14.1471060526129,28.2,624.580035460187,14.8,52.4822695035461,32,5.4000001
"128863","IFN4","5_846_A_1","IFN4_5_846_A_1_3",21,0,31.8309886183791,19.45,297.118088708663,13.1,67.3521850899743,36,1.5
"128864","IFN4","5_846_A_1","IFN4_5_846_A_1_4",626,0,14.1471060526129,24.7,479.163565507149,10.8,43.7246963562753,43,13.6
"128865","IFN4","5_846_A_1","IFN4_5_846_A_1_5",21,0,14.1471060526129,27.75,604.805673201247,13.1,47.2072072072072,50,8.3999996
"128866","IFN4","5_846_A_1","IFN4_5_846_A_1_6",25,0,5.09295817894065,47.05,1738.63787780834,20.700001,43.9957513283741,70,21.200001
"128867","IFN4","5_846_A_1","IFN4_5_846_A_1_7",626,0,14.1471060526129,25.25,500.740416551086,11.5,45.5445544554455,74,10.5
"128868","IFN4","5_846_A_1","IFN4_5_846_A_1_8",21,0,31.8309886183791,18.95,282.038443971432,12.3,64.9076517150396,80,7.8000002
"128869","IFN4","5_846_A_1","IFN4_5_846_A_1_9",21,0,14.1471060526129,23.45,431.892413547665,13.4,57.1428571428571,84,13.7
"128870","IFN4","5_846_A_1","IFN4_5_846_A_1_10",21,0,31.8309886183791,19.3,292.552961883916,10,51.8134715025907,95,5
"128871","IFN4","5_846_A_1","IFN4_5_846_A_1_11",626,0,14.1471060526129,24.4,467.594650560305,13.2,54.0983606557377,104,10.5
"128872","IFN4","5_846_A_1","IFN4_5_846_A_1_12",21,0,31.8309886183791,17.05,228.317209595047,10.3,60.4105571847507,105,7.1999998
"128873","IFN4","5_846_A_1","IFN4_5_846_A_1_13",21,0,31.8309886183791,19.8,307.907495978336,13.5,68.1818181818182,120,8.6999998
"128874","IFN4","5_846_A_1","IFN4_5_846_A_1_14",25,0,5.09295817894065,43.35,1475.93790011516,18.700001,43.1372572087659,121,21.1
"128875","IFN4","5_846_A_1","IFN4_5_846_A_1_15",25,0,5.09295817894065,46.4,1690.93082986817,17.5,37.7155172413793,124,16.700001
"128876","IFN4","5_846_A_1","IFN4_5_846_A_1_16",21,0,31.8309886183791,14.05,155.039560950065,9.5,67.6156583629893,135,5.5999999
"128877","IFN4","5_846_A_1","IFN4_5_846_A_1_17",21,0,31.8309886183791,12.5,122.718463030851,7,56,144,7.5
"128878","IFN4","5_846_A_1","IFN4_5_846_A_1_18",25,0,14.1471060526129,26.75,562.001473296087,12.4,46.3551401869159,162,8.3000002
"128879","IFN4","5_846_A_1","IFN4_5_846_A_1_19",25,0,5.09295817894065,48.85,1874.21330877401,17.4,35.6192425793245,163,13.5
"128880","IFN4","5_846_A_1","IFN4_5_846_A_1_20",21,0,31.8309886183791,13.2,136.847775990371,6.5,49.2424242424242,164,5.6999998
"128881","IFN4","5_846_A_1","IFN4_5_846_A_1_21",25,0,14.1471060526129,34.1,913.268838380187,14.7,43.108504398827,172,4.3000002
"128882","IFN4","5_846_A_1","IFN4_5_846_A_1_22",626,0,31.8309886183791,12.7,126.676869774374,10.5,82.6771653543307,185,7.1999998
"128883","IFN4","5_846_A_1","IFN4_5_846_A_1_23",21,0,31.8309886183791,13.95,152.840446092552,8.8999996,63.7992802867383,190,1.4
