"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"183105","IFN4","9_1491_A_1","IFN4_9_1491_A_1_1",21,0,14.1471060526129,33.5,881.413088872786,14.4,42.9850746268657,38,14.6
"183106","IFN4","9_1491_A_1","IFN4_9_1491_A_1_2",21,0,14.1471060526129,30.85,747.481103564028,14.3,46.353322528363,48,13.1
"183107","IFN4","9_1491_A_1","IFN4_9_1491_A_1_3",21,0,14.1471060526129,36.7,1057.84493229839,15.1,41.1444141689373,67,11.3
"183108","IFN4","9_1491_A_1","IFN4_9_1491_A_1_4",21,0,14.1471060526129,35.1,967.61839128729,14.2,40.4558404558405,86,11.9
"183109","IFN4","9_1491_A_1","IFN4_9_1491_A_1_5",378,0,127.323954473516,7.85,48.3981983239592,7.0999999,90.4458585987261,99,3.5999999
"183110","IFN4","9_1491_A_1","IFN4_9_1491_A_1_6",378,0,127.323954473516,10.15,80.9136822886136,7.3000002,71.9211842364532,134,4.5
"183111","IFN4","9_1491_A_1","IFN4_9_1491_A_1_7",378,0,127.323954473516,9.4,69.3977817177985,7.9000001,84.0425542553191,135,4.3000002
"183112","IFN4","9_1491_A_1","IFN4_9_1491_A_1_8",21,0,14.1471060526129,35.4,984.229562443146,14.3,40.3954802259887,175,14.2
"183113","IFN4","9_1491_A_1","IFN4_9_1491_A_1_9",21,0,14.1471060526129,31.6,784.267190042156,14.9,47.1518987341772,205,13.5
"183114","IFN4","9_1491_A_1","IFN4_9_1491_A_1_10",21,0,14.1471060526129,23.55,435.583784915633,8.3999996,35.6687881104034,205,10.4
"183115","IFN4","9_1491_A_1","IFN4_9_1491_A_1_11",21,0,14.1471060526129,33.9,902.587423357981,12.2,35.9882005899705,235,5.9000001
"183116","IFN4","9_1491_A_1","IFN4_9_1491_A_1_12",21,0,14.1471060526129,30.35,723.447919764066,12.4,40.8566721581549,288,8
"183117","IFN4","9_1491_A_1","IFN4_9_1491_A_1_13",21,0,14.1471060526129,23.05,417.284007708473,10.3,44.6854663774403,289,13.8
"183118","IFN4","9_1491_A_1","IFN4_9_1491_A_1_14",21,0,14.1471060526129,35.2,973.139740375974,10.6,30.1136363636364,365,8.8999996
"183119","IFN4","9_1491_A_1","IFN4_9_1491_A_1_15",71,0,31.8309886183791,21.4,359.680942909495,13,60.7476635514019,388,7.1999998
"183120","IFN4","9_1491_A_1","IFN4_9_1491_A_1_16",71,0,14.1471060526129,23.95,450.506350020185,12.5,52.1920668058455,394,6.6999998
"183121","IFN4","9_1491_A_1","IFN4_9_1491_A_1_17",71,0,31.8309886183791,21.75,371.542418672205,11.7,53.7931034482759,395,7.0999999
"1","IFN4","42_257_A_1","IFN4_42_257_A_1_1",21,0,5.09295817894065,45.5,1625.97054777357,19.5,42.8571428571429,6,10.1
"2","IFN4","42_257_A_1","IFN4_42_257_A_1_2",21,0,5.09295817894065,77.8,4753.88941933861,22.200001,28.534705655527,34,16.299999
"3","IFN4","42_257_A_1","IFN4_42_257_A_1_3",21,0,5.09295817894065,56.15,2476.22100101815,22.200001,39.5369563668744,63,17.6
"4","IFN4","42_257_A_1","IFN4_42_257_A_1_4",21,0,5.09295817894065,47.35,1760.88035379576,23.6,49.8416050686378,85,25.1
