"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"2","24_1142_A_1","IFN4",24,1142,"A","1",230211,4715541,29,0,2019,59,21,25,NA,417.339628552081,360.751204341629,56.5884242104517,NA,26.6148305084746,27.1412754811885,32.925,24.1457118055556,20.19423125,3.95148055555556,NA,15.4813559661017,16.512500125,70,95,58.1681553867953,50.1518606681853,476.181443804148,29.6443787589026,55.1744058361957,53.3459060957792,56.9553011014506,54.3061997122318,52.628536094862,50.5288852685971
"3","24_1142_A_1","IFN4",24,1142,"A","1",230211,4715541,29,0,2019,69,21,25,NA,417.339628552081,360.751204341629,56.5884242104517,NA,26.6148305084746,27.1412754811885,32.925,24.1457118055556,20.19423125,3.95148055555556,NA,15.4813559661017,16.512500125,70,95,58.1681553867953,50.1518606681853,476.181443804148,29.6443787589026,55.1744058361957,53.3459060957792,56.9553011014506,54.3061997122318,52.628536094862,50.5288852685971
"6","24_1159_A_1","IFN4",24,1159,"A","1",256890,4727779,30,0,2019,54,25,21,626,870.047022235694,502.222264867759,353.677651315323,14.1471060526129,22.0093495934959,22.774329436908,31.1125,35.4424555555556,23.6932548611111,10.5392006944444,1.21,13.8772357723577,15.274999875,85,90,63.0515486766526,49.0960220972278,749.116213316137,22.1946050978307,41.308814699787,46.7266112756332,44.2055334458285,42.2381413249476,40.8956358540137,39.3855375657161
"7","24_1274_A_1","IFN4",24,1274,"A","1",341925,4723805,30,0,2019,44,21,25,NA,962.003211577678,548.200359538751,413.802852038928,NA,19.3444852941176,19.7049019729789,25.4,29.33695,15.5695604166667,13.7673895833333,NA,11.9669117647059,12.925,90,95,61.8621358116198,50.8858267716535,656.560158554763,24.944866687278,46.42762829767,28.968694533697,28.5367286657027,27.2183907692449,26.2563334151243,25.2210915728294
"8","24_1274_A_1","IFN4",24,1274,"A","1",341925,4723805,30,0,2019,49,21,25,NA,962.003211577678,548.200359538751,413.802852038928,NA,19.3444852941176,19.7049019729789,25.4,29.33695,15.5695604166667,13.7673895833333,NA,11.9669117647059,12.925,90,95,61.8621358116198,50.8858267716535,656.560158554763,24.944866687278,46.42762829767,28.968694533697,28.5367286657027,27.2183907692449,26.2563334151243,25.2210915728294
"9","24_1274_A_1","IFN4",24,1274,"A","1",341925,4723805,30,0,2019,54,21,25,NA,962.003211577678,548.200359538751,413.802852038928,NA,19.3444852941176,19.7049019729789,25.4,29.33695,15.5695604166667,13.7673895833333,NA,11.9669117647059,12.925,90,95,61.8621358116198,50.8858267716535,656.560158554763,24.944866687278,46.42762829767,28.968694533697,28.5367286657027,27.2183907692449,26.2563334151243,25.2210915728294
"10","24_1279_A_1","IFN4",24,1279,"A","1",341919,4722794,30,0,2019,44,21,25,43,740.318059733234,254.223495765454,84.8826363156775,381.971863420549,19.9014905407988,22.5272927870482,36.3022598870057,29.5070798888889,17.8304961111111,6.11147777777778,3.26195,10.6829925216893,16.4005653050847,80,90,53.6793588389209,45.1778080927554,626.357930904639,22.4094919251591,41.7087641511246,28.968694533697,27.7497085391071,26.504466878245,25.5642456653424,24.5023870907804
"11","24_1279_A_1","IFN4",24,1279,"A","1",341919,4722794,30,0,2019,39,21,25,43,740.318059733234,254.223495765454,84.8826363156775,381.971863420549,19.9014905407988,22.5272927870482,36.3022598870057,29.5070798888889,17.8304961111111,6.11147777777778,3.26195,10.6829925216893,16.4005653050847,80,90,53.6793588389209,45.1778080927554,626.357930904639,22.4094919251591,41.7087641511246,28.968694533697,27.7497085391071,26.504466878245,25.5642456653424,24.5023870907804
"15","24_1289_A_1","IFN4",24,1289,"A","1",342908,4721820,30,0,2019,59,21,25,43,1283.84987427462,449.17061717046,325.383439210097,509.295817894065,18.7238292011019,20.1718230436315,31.375,41.0293298611111,19.9069284722222,16.6900263888889,4.432375,12.5495867834711,16.237499875,90,100,67.024680948983,51.7529876494024,909.780228038178,17.18793560066,31.9903527758162,29.4616552446595,28.1828838448395,26.9163164756538,25.9228751828277,24.8856088909816
"16","24_1289_A_1","IFN4",24,1289,"A","1",342908,4721820,30,0,2019,79,21,25,43,1283.84987427462,449.17061717046,325.383439210097,509.295817894065,18.7238292011019,20.1718230436315,31.375,41.0293298611111,19.9069284722222,16.6900263888889,4.432375,12.5495867834711,16.237499875,90,100,67.024680948983,51.7529876494024,909.780228038178,17.18793560066,31.9903527758162,29.4616552446595,28.1828838448395,26.9163164756538,25.9228751828277,24.8856088909816
