"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"60","34_217_A_1","IFN4",34,217,"A","1",346936,4727784,30,0,2019,62,21,26,25,519.481734251946,251.111132433879,80.9214466209459,155.618166578742,23.7433006535948,25.0092017923791,35.6935233160622,25.5187751111111,11.3694152777778,9.41366677777778,4.31966805555555,12.7026688477669,13.1077719740933,75,90,53.5000126271142,36.7231104030426,519.788654888214,33.4723328453966,62.2990311828177,30.4050101443676,30.1309003408742,28.8651793006005,27.7923559624693,26.7016296390677
"61","34_217_A_1","IFN4",34,217,"A","1",346936,4727784,30,0,2019,61,21,26,25,519.481734251946,251.111132433879,80.9214466209459,155.618166578742,23.7433006535948,25.0092017923791,35.6935233160622,25.5187751111111,11.3694152777778,9.41366677777778,4.31966805555555,12.7026688477669,13.1077719740933,75,90,53.5000126271142,36.7231104030426,519.788654888214,33.4723328453966,62.2990311828177,30.4050101443676,30.1309003408742,28.8651793006005,27.7923559624693,26.7016296390677
"62","34_217_A_1","IFN4",34,217,"A","1",346936,4727784,30,0,2019,67,21,26,25,519.481734251946,251.111132433879,80.9214466209459,155.618166578742,23.7433006535948,25.0092017923791,35.6935233160622,25.5187751111111,11.3694152777778,9.41366677777778,4.31966805555555,12.7026688477669,13.1077719740933,75,90,53.5000126271142,36.7231104030426,519.788654888214,33.4723328453966,62.2990311828177,30.4050101443676,30.1309003408742,28.8651793006005,27.7923559624693,26.7016296390677
"105","34_475_A_1","IFN4",34,475,"A","1",354882,4716797,30,0,2019,34,21,26,NA,293.12803741014,282.942121052258,10.1859163578813,NA,31.4276061776062,31.9902684889058,36.8562176165803,23.5604191111111,21.2568861111111,2.303533,NA,15.2824324633205,15.7709844093264,75,100,48.6274149451764,42.7905667732752,435.429001765787,37.0350143664394,68.9299286526492,27.4769173309764,26.1868300710375,25.0430873298628,24.167278006819,23.1670282811898
"106","34_475_A_1","IFN4",34,475,"A","1",354882,4716797,30,0,2019,69,21,26,NA,293.12803741014,282.942121052258,10.1859163578813,NA,31.4276061776062,31.9902684889058,36.8562176165803,23.5604191111111,21.2568861111111,2.303533,NA,15.2824324633205,15.7709844093264,75,100,48.6274149451764,42.7905667732752,435.429001765787,37.0350143664394,68.9299286526492,27.4769173309764,26.1868300710375,25.0430873298628,24.167278006819,23.1670282811898
"107","34_495_A_1","IFN4",34,495,"A","1",357928,4712810,30,0,2019,49,21,26,25,334.013173902191,169.765272631355,75.8284884420053,88.4194128288307,30.7077297755188,31.2485357725581,36.4228260869565,25.6160889166667,12.6901972222222,7.805666,5.12022569444444,12.8316814993647,13.6760869565217,85,100,41.7864869632743,37.5481214002208,477.827902186527,40.0088757952197,74.4649084444877,26.0550041720805,25.3158793261142,24.1870825385946,23.3102946344058,22.3025962161264
"108","34_495_A_1","IFN4",34,495,"A","1",357928,4712810,30,0,2019,51,21,26,25,334.013173902191,169.765272631355,75.8284884420053,88.4194128288307,30.7077297755188,31.2485357725581,36.4228260869565,25.6160889166667,12.6901972222222,7.805666,5.12022569444444,12.8316814993647,13.6760869565217,85,100,41.7864869632743,37.5481214002208,477.827902186527,40.0088757952197,74.4649084444877,26.0550041720805,25.3158793261142,24.1870825385946,23.3102946344058,22.3025962161264
"109","34_495_A_1","IFN4",34,495,"A","1",357928,4712810,30,0,2019,54,21,26,25,334.013173902191,169.765272631355,75.8284884420053,88.4194128288307,30.7077297755188,31.2485357725581,36.4228260869565,25.6160889166667,12.6901972222222,7.805666,5.12022569444444,12.8316814993647,13.6760869565217,85,100,41.7864869632743,37.5481214002208,477.827902186527,40.0088757952197,74.4649084444877,26.0550041720805,25.3158793261142,24.1870825385946,23.3102946344058,22.3025962161264
"117","37_1211_A_1","IFN4",37,1211,"A","1",697953,4467784,29,0,2018,53,26,21,NA,730.132143375353,622.472666314968,107.659477060384,NA,26.7794129044759,27.276251343028,34.8434782608696,42.6639161388889,36.5537756944444,6.11014044444444,NA,17.8310792842472,19.036956298913,75,100,66.585026893054,54.6356369946344,839.734839120865,19.4402458508409,36.182374501864,40.6534238440293,38.6211823638593,36.2993762813837,35.4983925063974,33.3134329148512
"120","37_1658_A_1","IFN4",37,1658,"A","1",688901,4464746,29,0,2018,49,21,26,31,2292.53853582592,2178.65433210239,82.0532151051549,31.8309886183791,17.4133384757791,18.4069642799091,37.9223076923077,61.00576325,49.0323006944444,11.3882375555556,0.585225,16.7821906210429,20.9492311076923,90,100,96.3754919505293,55.2425007403801,1402.5531010525,9.96950487075234,18.5553393511283,42.0281990624134,36.8806365114798,34.5856921096838,33.8430582093969,31.7948718771059
