"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Huso","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","N_sp_3","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","G_sp_3","h_mean","Ho","Canopy_cover","FccTot","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"20","24_1357_A_1","IFN4",24,1357,"A","1",222670,4707971,29,0,2019,39,43,21,NA,2965.37489968819,2318.14479778115,647.230101907041,NA,12.3019583989314,13.6377400073119,35.0782608695652,43.3165941388889,29.4238344166667,13.8927597222222,NA,9.43443058990506,13.5429347826087,95,100,76.6904771091131,38.6077714427367,1121.10801135374,13.5596165802064,25.2372901542028,59.2057425028719,57.6667387932881,55.0360626552907,53.4108366621047,51.1587982781204
"21","24_1357_A_1","IFN4",24,1357,"A","1",222670,4707971,29,0,2019,54,43,21,NA,2965.37489968819,2318.14479778115,647.230101907041,NA,12.3019583989314,13.6377400073119,35.0782608695652,43.3165941388889,29.4238344166667,13.8927597222222,NA,9.43443058990506,13.5429347826087,95,100,76.6904771091131,38.6077714427367,1121.10801135374,13.5596165802064,25.2372901542028,59.2057425028719,57.6667387932881,55.0360626552907,53.4108366621047,51.1587982781204
"101","34_465_A_1","IFN4",34,465,"A","1",353868,4718832,30,0,2019,49,21,43,NA,657.840431446501,314.773109670637,343.067321775863,NA,19.9720430107527,22.0761085767504,32.35625,25.1799861111111,19.9630111111111,5.216975,NA,12.1747311655914,15.387500125,75,100,60.9588671476257,47.5565002897431,538.793682658614,25.3379601916119,47.1592577480991,27.4769173309764,27.0892926056963,25.915279776149,25.1018141988577,23.9912439833388
"125","49_101_A_1","IFN4",49,101,"A","1",711916,4670748,29,0,2019,39,21,43,NA,906.546555851436,588.236669667645,318.309886183791,NA,20.6817571785268,23.0221594386469,38.4480225988701,37.7374115555556,35.0039803055556,2.73343125,NA,11.9445848798377,15.4920903954802,60,95,57.7542071340019,40.2935946982499,794.220001890568,21.4385259610288,39.9015928626398,48.0899197002482,45.3531898331936,43.2717262173708,42.0923079371664,40.0983915637536
"126","49_106_A_1","IFN4",49,106,"A","1",704835,4669677,29,0,2019,59,43,21,NA,125.34335962615,97.0491475209246,28.2942121052258,NA,25.4740406320542,27.9056905974407,25.4740406320542,7.66614027777778,5.1302375,2.53590277777778,NA,13.5220091422122,13.5220091422122,40,50,53.0815245901639,53.0815245901639,149.535573467274,66.0553669107046,122.942890833748,49.2338634435626,46.5483872002586,44.4532020311366,43.2536621065369,41.2066020840293
"139","49_23_A_1","IFN4",49,23,"A","1",720932,4672772,29,0,2019,69,21,43,NA,829.161885743643,824.068927564703,5.09295817894065,NA,14.6450093840642,15.7521356979917,21.7556531284303,16.1587626111111,14.0329986111111,2.125764,NA,5.73113802081556,6.54248084796926,55,90,39.1337272002833,30.0725554381061,395.071248584691,53.0808507313899,98.7945952318093,47.0652907515925,42.1468035690577,40.1311474521773,39.0486976922539,37.2867498135565
"149","5_672_A_1","IFN4",5,672,"A","1",293931,4470814,30,0,2019,39,21,43,45,614.550286925505,91.1073629788272,491.611935328299,31.8309886183791,16.142426335175,19.2378201045672,37.6682795698925,17.8631903333333,11.6220708888889,5.75461319444444,0.48650625,6.87914360662983,11.7983871064516,50,95,42.6153012180079,31.3218103963576,403.583930853776,34.1899641796902,63.6346935962929,37.1575976427187,32.813039276868,30.7544377979625,29.7085282676427,27.992270975213
"150","5_672_A_1","IFN4",5,672,"A","1",293931,4470814,30,0,2019,59,21,43,45,614.550286925505,91.1073629788272,491.611935328299,31.8309886183791,16.142426335175,19.2378201045672,37.6682795698925,17.8631903333333,11.6220708888889,5.75461319444444,0.48650625,6.87914360662983,11.7983871064516,50,95,42.6153012180079,31.3218103963576,403.583930853776,34.1899641796902,63.6346935962929,37.1575976427187,32.813039276868,30.7544377979625,29.7085282676427,27.992270975213
"155","9_1213_A_4","IFN4",9,1213,"A","4",470893,4692792,30,0,2018,53,21,43,NA,866.510245722541,452.707393683613,413.802852038928,NA,21.0883673469388,22.1522443235765,32.91875,33.3963534722222,25.7337909722222,7.6625625,NA,12.0889796261224,15.312500375,90,95,57.3253463733754,46.5160444275679,713.633862264315,22.1853884112136,41.2916605130856,28.7136922084368,28.1183430043628,26.738255027445,25.5185323541238,24.2548517402581
"156","9_1231_A_1","IFN4",9,1231,"A","1",465894,4689802,30,0,2018,49,21,43,NA,1676.43206723463,389.045416446855,1287.38665078778,NA,16.1122362869198,17.954221851099,34.3875,42.4432875,25.75375625,16.68953125,NA,11.9316455535865,15.87499975,85,95,74.0533178704237,46.165030170847,985.438709784454,15.3848509496524,28.6344341006162,28.4941062794343,26.8072644089426,25.4407293724488,24.3201184779739,23.199129506505
"157","9_1237_A_1","IFN4",9,1237,"A","1",471923,4689771,30,0,2018,90,21,43,NA,707.355302630646,611.862336775509,95.4929658551372,NA,28.0915,28.9372912519469,37.16875,46.5203791666667,44.8364479166667,1.68393125,NA,14.004,14.9625,85,85,49.8513785308723,40.2555910543131,894.507095186311,25.1291055100852,46.7705353851493,30.5006215145476,29.3975901877179,27.9625293395471,26.6565233651247,25.3571429881536
"158","9_1237_A_1","IFN4",9,1237,"A","1",471923,4689771,30,0,2018,61,21,43,NA,707.355302630646,611.862336775509,95.4929658551372,NA,28.0915,28.9372912519469,37.16875,46.5203791666667,44.8364479166667,1.68393125,NA,14.004,14.9625,85,85,49.8513785308723,40.2555910543131,894.507095186311,25.1291055100852,46.7705353851493,30.5006215145476,29.3975901877179,27.9625293395471,26.6565233651247,25.3571429881536
"160","9_1247_A_1","IFN4",9,1247,"A","1",477898,4688815,30,0,2018,50,21,43,NA,1892.17543453698,1817.90312776076,74.2723067762178,NA,17.9464485981308,18.745259961602,28.99375,52.21968125,48.3945506944444,3.82513055555556,NA,12.5409346100935,13.9,85,95,69.8797566633859,47.9413666738521,1191.95124486629,16.5388192084596,30.7822110384073,29.9248231609132,28.6102237423692,27.1891367313472,25.9152798988347,24.621072129414
"161","9_1247_A_1","IFN4",9,1247,"A","1",477898,4688815,30,0,2018,43,21,43,NA,1892.17543453698,1817.90312776076,74.2723067762178,NA,17.9464485981308,18.745259961602,28.99375,52.21968125,48.3945506944444,3.82513055555556,NA,12.5409346100935,13.9,85,95,69.8797566633859,47.9413666738521,1191.95124486629,16.5388192084596,30.7822110384073,29.9248231609132,28.6102237423692,27.1891367313472,25.9152798988347,24.621072129414
"162","9_1256_A_1","IFN4",9,1256,"A","1",472895,4687781,30,0,2018,58,21,43,NA,788.70116243317,403.192522499468,385.508639933702,NA,21.1742152466368,21.9194031722127,30.63125,29.7618423611111,18.3804777777778,11.3813645833333,NA,12.3573991071749,14.6,75,100,58.3606002075458,47.6637420934503,638.629344920113,24.3888264766214,45.3927208538836,29.3025710228683,29.9817481770248,28.4994091340184,27.1732873875642,25.8413056530978
"163","9_1256_A_1","IFN4",9,1256,"A","1",472895,4687781,30,0,2018,53,21,43,NA,788.70116243317,403.192522499468,385.508639933702,NA,21.1742152466368,21.9194031722127,30.63125,29.7618423611111,18.3804777777778,11.3813645833333,NA,12.3573991071749,14.6,75,100,58.3606002075458,47.6637420934503,638.629344920113,24.3888264766214,45.3927208538836,29.3025710228683,29.9817481770248,28.4994091340184,27.1732873875642,25.8413056530978
"164","9_1259_A_1","IFN4",9,1259,"A","1",476895,4687756,30,0,2018,53,21,43,NA,1170.67302585372,1011.51808276182,159.154943091895,NA,20.1932024169184,20.8915399767032,29.475,40.1297451388889,38.4240451388889,1.7057,NA,12.1513595220544,13.425,95,95,60.1754950560671,45.5470737913486,877.595680210569,21.7704747489008,40.5194191725733,29.9248231609132,29.1055598955848,27.6579926121478,26.3615560480429,25.0465897521146
"165","9_1259_A_1","IFN4",9,1259,"A","1",476895,4687756,30,0,2018,48,21,43,NA,1170.67302585372,1011.51808276182,159.154943091895,NA,20.1932024169184,20.8915399767032,29.475,40.1297451388889,38.4240451388889,1.7057,NA,12.1513595220544,13.425,95,95,60.1754950560671,45.5470737913486,877.595680210569,21.7704747489008,40.5194191725733,29.9248231609132,29.1055598955848,27.6579926121478,26.3615560480429,25.0465897521146
"166","9_1260_A_1","IFN4",9,1260,"A","1",477893,4687792,30,0,2018,48,21,43,NA,596.441991178161,568.147779072935,28.2942121052258,NA,32.0830170777989,32.4640973053617,40.4986033519553,49.3701851111111,46.7664295555556,2.60375555555556,NA,16.2436433111954,16.6804469273743,85,100,50.6300366695746,41.1877090733524,907.145278282235,24.5475532941141,45.6881447491406,29.9248231609132,29.4907031627782,28.0274778330496,26.7176738999254,25.390654218337
"167","9_1278_A_1","IFN4",9,1278,"A","1",486874,4692799,30,0,2018,48,21,43,NA,1046.88584789336,569.42101861767,477.464829275686,NA,17.8880067567568,19.1370667197231,30.18125,30.1120243055556,25.0927618055556,5.0192625,NA,11.3233108168919,13.9625,85,100,63.3011322662587,46.2621660799337,681.734991196758,22.1353885353793,41.1986002582738,27.2380446646872,27.6035329435857,26.1934744491184,24.946076616146,23.7424984981765
"168","9_1295_A_1","IFN4",9,1295,"A","1",487916,4690725,30,0,2018,53,21,43,657,1018.87457790918,134.680449620875,88.4194128288307,254.647908947033,15.6060052763121,18.9177915114489,41.0813829787234,28.6385798055556,16.1100957777778,5.30765902777778,2.88726875,7.60562343099139,15.0973404787234,80,100,48.7352355476627,36.7498350446053,651.334466639841,20.7510075024483,38.621976826085,30.4191601830499,28.1625371455467,26.6923224312182,25.4313578926218,24.1979835529332
"169","9_1295_A_1","IFN4",9,1295,"A","1",487916,4690725,30,0,2018,50,21,43,657,1018.87457790918,134.680449620875,88.4194128288307,254.647908947033,15.6060052763121,18.9177915114489,41.0813829787234,28.6385798055556,16.1100957777778,5.30765902777778,2.88726875,7.60562343099139,15.0973404787234,80,100,48.7352355476627,36.7498350446053,651.334466639841,20.7510075024483,38.621976826085,30.4191601830499,28.1625371455467,26.6923224312182,25.4313578926218,24.1979835529332
