"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"161362","IFN4","9_86_A_1","IFN4_9_86_A_1_1",21,0,5.09295817894065,51.6,2091.16973393551,21,40.6976744186046,12,13.1
"161364","IFN4","9_86_A_1","IFN4_9_86_A_1_3",21,0,14.1471060526129,28.7,646.924613208844,17.6,61.3240418118467,60,11.2
"161365","IFN4","9_86_A_1","IFN4_9_86_A_1_4",21,0,5.09295817894065,43.15,1462.35051188839,19.200001,44.4959466975666,64,8.1999998
"161366","IFN4","9_86_A_1","IFN4_9_86_A_1_5",21,0,14.1471060526129,35.8,1006.59770213671,16.299999,45.5307234636872,76,14.2
"161367","IFN4","9_86_A_1","IFN4_9_86_A_1_6",21,0,14.1471060526129,26.65,557.807447103544,15.2,57.0356472795497,77,10.9
"161368","IFN4","9_86_A_1","IFN4_9_86_A_1_7",26,0,14.1471060526129,36.4,1040.62115057508,16.799999,46.1538434065934,95,13.8
"161370","IFN4","9_86_A_1","IFN4_9_86_A_1_9",21,0,14.1471060526129,30.1,711.578590019722,13.7,45.514950166113,118,12.3
"161371","IFN4","9_86_A_1","IFN4_9_86_A_1_10",26,0,5.09295817894065,44.55,1558.78169839032,18,40.4040404040404,123,3.8
"161373","IFN4","9_86_A_1","IFN4_9_86_A_1_12",26,0,5.09295817894065,48.55,1851.26397443953,16.5,33.9855818743563,129,15.1
"161375","IFN4","9_86_A_1","IFN4_9_86_A_1_14",26,0,5.09295817894065,45.95,1658.29164569278,17.5,38.0848748639826,143,17.6
"161376","IFN4","9_86_A_1","IFN4_9_86_A_1_15",26,0,5.09295817894065,45.6,1633.12552504212,17.9,39.2543859649123,149,7.9000001
"161377","IFN4","9_86_A_1","IFN4_9_86_A_1_16",26,0,5.09295817894065,43.6,1493.01049269201,16,36.697247706422,166,11.5
"161378","IFN4","9_86_A_1","IFN4_9_86_A_1_17",21,0,14.1471060526129,32.1,809.282121546365,18.1,56.386292834891,171,8.3000002
"161379","IFN4","9_86_A_1","IFN4_9_86_A_1_18",21,0,14.1471060526129,30.15,713.944601986957,15.8,52.4046434494196,194,14.1
"161381","IFN4","9_86_A_1","IFN4_9_86_A_1_20",26,0,5.09295817894065,44.55,1558.78169839032,16.1,36.1391694725028,203,10.1
"161383","IFN4","9_86_A_1","IFN4_9_86_A_1_22",21,0,14.1471060526129,39.7,1237.85819134908,15.9,40.0503778337531,221,13.3
"161384","IFN4","9_86_A_1","IFN4_9_86_A_1_23",21,0,14.1471060526129,32.4,824.479576008105,17.1,52.7777777777778,226,4.8000002
"161385","IFN4","9_86_A_1","IFN4_9_86_A_1_24",21,0,14.1471060526129,32.7,839.818402139258,16.299999,49.8470917431193,231,7.9000001
"161386","IFN4","9_86_A_1","IFN4_9_86_A_1_25",21,0,14.1471060526129,29.25,671.957216171729,14.4,49.2307692307692,238,10.7
"161387","IFN4","9_86_A_1","IFN4_9_86_A_1_26",26,0,5.09295817894065,57.7,2614.81825141749,17.6,30.5025996533796,240,24.200001
"161388","IFN4","9_86_A_1","IFN4_9_86_A_1_27",21,0,14.1471060526129,31.7,789.238760416462,17,53.6277602523659,265,6.3000002
"161389","IFN4","9_86_A_1","IFN4_9_86_A_1_28",21,0,14.1471060526129,38.05,1137.10142446223,16.1,42.3127463863338,273,10.9
"161390","IFN4","9_86_A_1","IFN4_9_86_A_1_29",43,0,31.8309886183791,16,201.061929829747,6.8000002,42.50000125,295,9.3000002
"161391","IFN4","9_86_A_1","IFN4_9_86_A_1_30",26,0,5.09295817894065,49.9,1955.64928084128,17.700001,35.4709438877756,301,12.4
"161392","IFN4","9_86_A_1","IFN4_9_86_A_1_31",21,0,14.1471060526129,31,754.767635024948,16.6,53.5483870967742,303,6.5
"161393","IFN4","9_86_A_1","IFN4_9_86_A_1_32",26,0,5.09295817894065,54.6,2341.39758879394,15.7,28.7545787545788,317,15
"161395","IFN4","9_86_A_1","IFN4_9_86_A_1_34",21,0,14.1471060526129,27.9,611.361784370208,16.700001,59.8566344086022,332,5.9000001
"161397","IFN4","9_86_A_1","IFN4_9_86_A_1_36",21,0,14.1471060526129,33.8,897.270277791781,18.299999,54.1420088757396,350,8.6000004
"161400","IFN4","9_86_A_1","IFN4_9_86_A_1_39",21,0,14.1471060526129,42.25,1401.98480904966,17.9,42.3668639053254,383,4.5
"720249","IFN4","34_217_A_1","IFN4_34_217_A_1_1",21,0,14.1471060526129,25.1,494.808696922026,13.9,55.3784860557769,9,12
"720250","IFN4","34_217_A_1","IFN4_34_217_A_1_2",21,0,31.8309886183791,20.75,338.162996727814,12,57.8313253012048,12,9.8000002
"720251","IFN4","34_217_A_1","IFN4_34_217_A_1_3",21,0,31.8309886183791,21.85,374.966754664618,11.8,54.0045766590389,15,8
"720252","IFN4","34_217_A_1","IFN4_34_217_A_1_4",21,0,14.1471060526129,22.75,406.492636943392,11.5,50.5494505494505,32,14.4
"720253","IFN4","34_217_A_1","IFN4_34_217_A_1_5",21,0,14.1471060526129,27.6,598.28490494964,11.6,42.0289855072464,48,9.6999998
"720254","IFN4","34_217_A_1","IFN4_34_217_A_1_6",21,0,14.1471060526129,24.8,483.051286415967,11.5,46.3709677419355,63,13.3
"720256","IFN4","34_217_A_1","IFN4_34_217_A_1_8",21,0,14.1471060526129,27.55,596.119169514072,11.7,42.4682395644283,81,11.6
"720258","IFN4","34_217_A_1","IFN4_34_217_A_1_10",26,0,5.09295817894065,43.5,1486.16967468882,15.4,35.4022988505747,133,23.4
"720259","IFN4","34_217_A_1","IFN4_34_217_A_1_11",26,0,14.1471060526129,40.25,1272.39411208908,13.2,32.7950310559006,139,7.5
"720261","IFN4","34_217_A_1","IFN4_34_217_A_1_13",25,0,14.1471060526129,24.55,473.361436575051,13.6,55.3971486761711,182,10.5
"720262","IFN4","34_217_A_1","IFN4_34_217_A_1_14",25,0,31.8309886183791,14.8,172.033613710577,13,87.8378378378378,213,7.5999999
"720263","IFN4","34_217_A_1","IFN4_34_217_A_1_15",25,0,31.8309886183791,12.95,131.713235497161,13.2,101.930501930502,215,5.3000002
"720264","IFN4","34_217_A_1","IFN4_34_217_A_1_16",26,0,14.1471060526129,41.35,1342.89145123563,13.2,31.9226118500605,227,9.6999998
"720265","IFN4","34_217_A_1","IFN4_34_217_A_1_17",25,0,31.8309886183791,18.5,268.802521422777,12.8,69.1891891891892,229,3.4000001
"720266","IFN4","34_217_A_1","IFN4_34_217_A_1_18",26,0,14.1471060526129,39.15,1203.79743649795,12.3,31.4176245210728,244,5.0999999
"720267","IFN4","34_217_A_1","IFN4_34_217_A_1_19",26,0,5.09295817894065,44.15,1530.91577155298,16.799999,38.0520928652322,256,17.5
"720268","IFN4","34_217_A_1","IFN4_34_217_A_1_20",21,0,14.1471060526129,24.05,454.276261204493,14.8,61.5384615384615,261,13.3
"720269","IFN4","34_217_A_1","IFN4_34_217_A_1_21",25,0,31.8309886183791,22.45,395.842637847722,13.4,59.6881959910913,266,7.4000001
